Bouwjaarklasse;Bouwjaarklasse code;Oppervlakteklasse TNO code;Huishoudgrootte;Oppervlakteklasse TNO;Gecorrigeerd gasgebruik koken [m3]
<1930;0.00000000000000;1.00000000000000;1.00000000000000;<75;17.08646739130430
<1930;0.00000000000000;2.00000000000000;1.00000000000000;75-100;16.78281956521740
<1930;0.00000000000000;3.00000000000000;1.00000000000000;100-125;16.16793391304350
<1930;0.00000000000000;4.00000000000000;1.00000000000000;125-150;16.01068173913040
<1930;0.00000000000000;5.00000000000000;1.00000000000000;>150;15.58356130434780
<1930;0.00000000000000;1.00000000000000;2.00000000000000;<75;29.77021826086960
<1930;0.00000000000000;2.00000000000000;2.00000000000000;75-100;28.07137826086960
<1930;0.00000000000000;3.00000000000000;2.00000000000000;100-125;27.90499130434780
<1930;0.00000000000000;4.00000000000000;2.00000000000000;125-150;28.00898434782610
<1930;0.00000000000000;5.00000000000000;2.00000000000000;>150;26.67397652173910
<1930;0.00000000000000;1.00000000000000;3.00000000000000;<75;39.46227043478260
<1930;0.00000000000000;2.00000000000000;3.00000000000000;75-100;37.92764608695650
<1930;0.00000000000000;3.00000000000000;3.00000000000000;100-125;36.77263652173910
<1930;0.00000000000000;4.00000000000000;3.00000000000000;125-150;37.10630956521740
<1930;0.00000000000000;5.00000000000000;3.00000000000000;>150;35.29030521739130
<1930;0.00000000000000;1.00000000000000;4.00000000000000;<75;43.60547304347830
<1930;0.00000000000000;2.00000000000000;4.00000000000000;75-100;46.62163478260870
<1930;0.00000000000000;3.00000000000000;4.00000000000000;100-125;45.61258086956520
<1930;0.00000000000000;4.00000000000000;4.00000000000000;125-150;45.45773913043480
<1930;0.00000000000000;5.00000000000000;4.00000000000000;>150;44.51531652173910
<1930;0.00000000000000;1.00000000000000;5.00000000000000;<75;55.33024869565220
<1930;0.00000000000000;2.00000000000000;5.00000000000000;75-100;54.32590086956520
<1930;0.00000000000000;3.00000000000000;5.00000000000000;100-125;54.70324869565220
<1930;0.00000000000000;4.00000000000000;5.00000000000000;125-150;54.78030608695650
<1930;0.00000000000000;5.00000000000000;5.00000000000000;>150;53.52110260869560
1931-1959;1.00000000000000;1.00000000000000;1.00000000000000;<75;17.11078695652170
1931-1959;1.00000000000000;2.00000000000000;1.00000000000000;75-100;17.54401956521740
1931-1959;1.00000000000000;3.00000000000000;1.00000000000000;100-125;16.48069739130430
1931-1959;1.00000000000000;4.00000000000000;1.00000000000000;125-150;16.75540565217390
1931-1959;1.00000000000000;5.00000000000000;1.00000000000000;>150;14.73583434782610
1931-1959;1.00000000000000;1.00000000000000;2.00000000000000;<75;29.98709043478260
1931-1959;1.00000000000000;2.00000000000000;2.00000000000000;75-100;28.79033826086960
1931-1959;1.00000000000000;3.00000000000000;2.00000000000000;100-125;28.38945043478260
1931-1959;1.00000000000000;4.00000000000000;2.00000000000000;125-150;28.78394869565220
1931-1959;1.00000000000000;5.00000000000000;2.00000000000000;>150;25.71866000000000
1931-1959;1.00000000000000;1.00000000000000;3.00000000000000;<75;39.72768608695650
1931-1959;1.00000000000000;2.00000000000000;3.00000000000000;75-100;38.64993478260870
1931-1959;1.00000000000000;3.00000000000000;3.00000000000000;100-125;37.27817739130430
1931-1959;1.00000000000000;4.00000000000000;3.00000000000000;125-150;37.89375652173910
1931-1959;1.00000000000000;5.00000000000000;3.00000000000000;>150;34.32555739130440
1931-1959;1.00000000000000;1.00000000000000;4.00000000000000;<75;43.29164782608700
1931-1959;1.00000000000000;2.00000000000000;4.00000000000000;75-100;48.02904173913040
1931-1959;1.00000000000000;3.00000000000000;4.00000000000000;100-125;45.92796521739130
1931-1959;1.00000000000000;4.00000000000000;4.00000000000000;125-150;46.74553304347830
1931-1959;1.00000000000000;5.00000000000000;4.00000000000000;>150;43.20828695652170
1931-1959;1.00000000000000;1.00000000000000;5.00000000000000;<75;55.14263652173910
1931-1959;1.00000000000000;2.00000000000000;5.00000000000000;75-100;55.73164347826090
1931-1959;1.00000000000000;3.00000000000000;5.00000000000000;100-125;55.05025565217390
1931-1959;1.00000000000000;4.00000000000000;5.00000000000000;125-150;56.08474347826090
1931-1959;1.00000000000000;5.00000000000000;5.00000000000000;>150;52.18577913043480
1960-1980;2.00000000000000;1.00000000000000;1.00000000000000;<75;15.10919347826090
1960-1980;2.00000000000000;2.00000000000000;1.00000000000000;75-100;16.65588913043480
1960-1980;2.00000000000000;3.00000000000000;1.00000000000000;100-125;15.34238869565220
1960-1980;2.00000000000000;4.00000000000000;1.00000000000000;125-150;13.93188260869570
1960-1980;2.00000000000000;5.00000000000000;1.00000000000000;>150;12.09936391304350
1960-1980;2.00000000000000;1.00000000000000;2.00000000000000;<75;27.15916260869560
1960-1980;2.00000000000000;2.00000000000000;2.00000000000000;75-100;27.78277652173910
1960-1980;2.00000000000000;3.00000000000000;2.00000000000000;100-125;26.92166782608700
1960-1980;2.00000000000000;4.00000000000000;2.00000000000000;125-150;25.33912173913040
1960-1980;2.00000000000000;5.00000000000000;2.00000000000000;>150;22.49052347826090
1960-1980;2.00000000000000;1.00000000000000;3.00000000000000;<75;36.65981478260870
1960-1980;2.00000000000000;2.00000000000000;3.00000000000000;75-100;37.57247043478260
1960-1980;2.00000000000000;3.00000000000000;3.00000000000000;100-125;35.76601217391300
1960-1980;2.00000000000000;4.00000000000000;3.00000000000000;125-150;34.32243913043480
1960-1980;2.00000000000000;5.00000000000000;3.00000000000000;>150;31.05331565217390
1960-1980;2.00000000000000;1.00000000000000;4.00000000000000;<75;41.33092173913040
1960-1980;2.00000000000000;2.00000000000000;4.00000000000000;75-100;46.65469217391300
1960-1980;2.00000000000000;3.00000000000000;4.00000000000000;100-125;44.36826086956520
1960-1980;2.00000000000000;4.00000000000000;4.00000000000000;125-150;42.51217826086960
1960-1980;2.00000000000000;5.00000000000000;4.00000000000000;>150;39.57474782608700
1960-1980;2.00000000000000;1.00000000000000;5.00000000000000;<75;52.55805739130440
1960-1980;2.00000000000000;2.00000000000000;5.00000000000000;75-100;54.39224521739130
1960-1980;2.00000000000000;3.00000000000000;5.00000000000000;100-125;53.42397739130430
1960-1980;2.00000000000000;4.00000000000000;5.00000000000000;125-150;51.68273478260870
1960-1980;2.00000000000000;5.00000000000000;5.00000000000000;>150;48.41992434782610
1980-1995;3.00000000000000;1.00000000000000;1.00000000000000;<75;15.62198478260870
1980-1995;3.00000000000000;2.00000000000000;1.00000000000000;75-100;16.27803913043480
1980-1995;3.00000000000000;3.00000000000000;1.00000000000000;100-125;13.76732739130440
1980-1995;3.00000000000000;4.00000000000000;1.00000000000000;125-150;13.34852869565220
1980-1995;3.00000000000000;5.00000000000000;1.00000000000000;>150;12.07843043478260
1980-1995;3.00000000000000;1.00000000000000;2.00000000000000;<75;27.84303739130430
1980-1995;3.00000000000000;2.00000000000000;2.00000000000000;75-100;27.34079652173910
1980-1995;3.00000000000000;3.00000000000000;2.00000000000000;100-125;24.82836782608700
1980-1995;3.00000000000000;4.00000000000000;2.00000000000000;125-150;24.44314782608700
1980-1995;3.00000000000000;5.00000000000000;2.00000000000000;>150;22.45167913043480
1980-1995;3.00000000000000;1.00000000000000;3.00000000000000;<75;37.39500695652170
1980-1995;3.00000000000000;2.00000000000000;3.00000000000000;75-100;37.09553913043480
1980-1995;3.00000000000000;3.00000000000000;3.00000000000000;100-125;33.60447391304350
1980-1995;3.00000000000000;4.00000000000000;3.00000000000000;125-150;33.37154173913040
1980-1995;3.00000000000000;5.00000000000000;3.00000000000000;>150;31.01336173913040
1980-1995;3.00000000000000;1.00000000000000;4.00000000000000;<75;41.90838347826090
1980-1995;3.00000000000000;2.00000000000000;4.00000000000000;75-100;46.09111913043480
1980-1995;3.00000000000000;3.00000000000000;4.00000000000000;100-125;42.29704695652170
1980-1995;3.00000000000000;4.00000000000000;4.00000000000000;125-150;41.87362347826090
1980-1995;3.00000000000000;5.00000000000000;4.00000000000000;>150;39.56807130434780
1980-1995;3.00000000000000;1.00000000000000;5.00000000000000;<75;53.26894434782610
1980-1995;3.00000000000000;2.00000000000000;5.00000000000000;75-100;53.84614782608700
1980-1995;3.00000000000000;3.00000000000000;5.00000000000000;100-125;51.25040608695650
1980-1995;3.00000000000000;4.00000000000000;5.00000000000000;125-150;50.97094869565220
1980-1995;3.00000000000000;5.00000000000000;5.00000000000000;>150;48.40991913043480
>1995;4.00000000000000;1.00000000000000;1.00000000000000;<75;11.13477391304350
>1995;4.00000000000000;2.00000000000000;1.00000000000000;75-100;10.83645869565220
>1995;4.00000000000000;3.00000000000000;1.00000000000000;100-125;10.99300782608700
>1995;4.00000000000000;4.00000000000000;1.00000000000000;125-150;13.78666826086960
>1995;4.00000000000000;5.00000000000000;1.00000000000000;>150;12.58432043478260
>1995;4.00000000000000;1.00000000000000;2.00000000000000;<75;21.90740869565220
>1995;4.00000000000000;2.00000000000000;2.00000000000000;75-100;20.70101478260870
>1995;4.00000000000000;3.00000000000000;2.00000000000000;100-125;21.30160521739130
>1995;4.00000000000000;4.00000000000000;2.00000000000000;125-150;25.08641826086960
>1995;4.00000000000000;5.00000000000000;2.00000000000000;>150;23.11208086956520
>1995;4.00000000000000;1.00000000000000;3.00000000000000;<75;31.02248695652170
>1995;4.00000000000000;2.00000000000000;3.00000000000000;75-100;29.84494173913040
>1995;4.00000000000000;3.00000000000000;3.00000000000000;100-125;29.97507652173910
>1995;4.00000000000000;4.00000000000000;3.00000000000000;125-150;34.05142782608700
>1995;4.00000000000000;5.00000000000000;3.00000000000000;>150;31.68458173913040
>1995;4.00000000000000;1.00000000000000;4.00000000000000;<75;36.76525217391300
>1995;4.00000000000000;2.00000000000000;4.00000000000000;75-100;38.41069913043480
>1995;4.00000000000000;3.00000000000000;4.00000000000000;100-125;38.42520000000000
>1995;4.00000000000000;4.00000000000000;4.00000000000000;125-150;42.39123565217390
>1995;4.00000000000000;5.00000000000000;4.00000000000000;>150;40.19650608695650
>1995;4.00000000000000;1.00000000000000;5.00000000000000;<75;46.98989565217390
>1995;4.00000000000000;2.00000000000000;5.00000000000000;75-100;46.47113565217390
>1995;4.00000000000000;3.00000000000000;5.00000000000000;100-125;47.22460695652170
>1995;4.00000000000000;4.00000000000000;5.00000000000000;125-150;51.53738173913040
>1995;4.00000000000000;5.00000000000000;5.00000000000000;>150;49.07080869565220
